parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
NOx,Pinheiros,2008-11-01,1,2008-11-01T00:59:59Z,Sat,86,-,Não
NOx,Pinheiros,2008-11-01,2,2008-11-01T01:59:59Z,Sat,14,-,Sim
NOx,Pinheiros,2008-11-01,3,2008-11-01T02:59:59Z,Sat,10,-,Sim
NOx,Pinheiros,2008-11-01,4,2008-11-01T03:59:59Z,Sat,11,-,Sim
NOx,Pinheiros,2008-11-01,5,2008-11-01T04:59:59Z,Sat,11,-,Sim
NOx,Pinheiros,2008-11-01,6,2008-11-01T05:59:59Z,Sat,17,-,Sim
NOx,Pinheiros,2008-11-01,7,2008-11-01T06:59:59Z,Sat,30,-,Sim
NOx,Pinheiros,2008-11-01,8,2008-11-01T07:59:59Z,Sat,32,-,Sim
NOx,Pinheiros,2008-11-01,20,2008-11-01T19:59:59Z,Sat,124,-,Não
NOx,Pinheiros,2008-11-01,21,2008-11-01T20:59:59Z,Sat,45,-,Sim
NOx,Pinheiros,2008-11-01,22,2008-11-01T21:59:59Z,Sat,59,-,Sim
NOx,Pinheiros,2008-11-01,23,2008-11-01T22:59:59Z,Sat,52,-,Sim
NOx,Pinheiros,2008-11-01,24,2008-11-01T23:59:59Z,Sat,51,-,Sim
NOx,Pinheiros,2008-11-02,1,2008-11-02T00:59:59Z,Sun,104,-,Não
NOx,Pinheiros,2008-11-02,2,2008-11-02T01:59:59Z,Sun,34,-,Sim
NOx,Pinheiros,2008-11-02,3,2008-11-02T02:59:59Z,Sun,20,-,Sim
NOx,Pinheiros,2008-11-02,4,2008-11-02T03:59:59Z,Sun,13,-,Sim
NOx,Pinheiros,2008-11-02,5,2008-11-02T04:59:59Z,Sun,11,-,Sim
NOx,Pinheiros,2008-11-02,6,2008-11-02T05:59:59Z,Sun,12,-,Sim
NOx,Pinheiros,2008-11-02,7,2008-11-02T06:59:59Z,Sun,17,-,Sim
NOx,Pinheiros,2008-11-02,8,2008-11-02T07:59:59Z,Sun,18,-,Sim
NOx,Pinheiros,2008-11-02,9,2008-11-02T08:59:59Z,Sun,23,-,Sim
NOx,Pinheiros,2008-11-02,10,2008-11-02T09:59:59Z,Sun,37,-,Sim
NOx,Pinheiros,2008-11-02,11,2008-11-02T10:59:59Z,Sun,33,-,Sim
NOx,Pinheiros,2008-11-02,12,2008-11-02T11:59:59Z,Sun,26,-,Sim
NOx,Pinheiros,2008-11-02,13,2008-11-02T12:59:59Z,Sun,17,-,Sim
NOx,Pinheiros,2008-11-02,14,2008-11-02T13:59:59Z,Sun,16,-,Sim
NOx,Pinheiros,2008-11-02,15,2008-11-02T14:59:59Z,Sun,11,-,Sim
NOx,Pinheiros,2008-11-02,16,2008-11-02T15:59:59Z,Sun,10,-,Sim
NOx,Pinheiros,2008-11-02,17,2008-11-02T16:59:59Z,Sun,12,-,Sim
NOx,Pinheiros,2008-11-02,18,2008-11-02T17:59:59Z,Sun,27,-,Sim
NOx,Pinheiros,2008-11-02,19,2008-11-02T18:59:59Z,Sun,58,-,Sim
NOx,Pinheiros,2008-11-02,20,2008-11-02T19:59:59Z,Sun,82,-,Sim
NOx,Pinheiros,2008-11-02,21,2008-11-02T20:59:59Z,Sun,84,-,Sim
NOx,Pinheiros,2008-11-02,22,2008-11-02T21:59:59Z,Sun,45,-,Sim
NOx,Pinheiros,2008-11-02,23,2008-11-02T22:59:59Z,Sun,35,-,Sim
NOx,Pinheiros,2008-11-02,24,2008-11-02T23:59:59Z,Sun,45,-,Sim
NOx,Pinheiros,2008-11-03,1,2008-11-03T00:59:59Z,Mon,88,-,Não
NOx,Pinheiros,2008-11-03,2,2008-11-03T01:59:59Z,Mon,8,-,Sim
NOx,Pinheiros,2008-11-03,3,2008-11-03T02:59:59Z,Mon,3,-,Sim
NOx,Pinheiros,2008-11-03,4,2008-11-03T03:59:59Z,Mon,17,-,Sim
NOx,Pinheiros,2008-11-03,5,2008-11-03T04:59:59Z,Mon,22,-,Sim
NOx,Pinheiros,2008-11-03,6,2008-11-03T05:59:59Z,Mon,76,-,Sim
NOx,Pinheiros,2008-11-03,7,2008-11-03T06:59:59Z,Mon,141,-,Sim
NOx,Pinheiros,2008-11-03,8,2008-11-03T07:59:59Z,Mon,96,-,Sim
NOx,Pinheiros,2008-11-03,9,2008-11-03T08:59:59Z,Mon,94,-,Sim
NOx,Pinheiros,2008-11-03,10,2008-11-03T09:59:59Z,Mon,83,-,Sim
NOx,Pinheiros,2008-11-03,11,2008-11-03T10:59:59Z,Mon,79,-,Sim
NOx,Pinheiros,2008-11-03,12,2008-11-03T11:59:59Z,Mon,38,-,Sim
NOx,Pinheiros,2008-11-03,13,2008-11-03T12:59:59Z,Mon,41,-,Sim
NOx,Pinheiros,2008-11-03,14,2008-11-03T13:59:59Z,Mon,35,-,Sim
NOx,Pinheiros,2008-11-03,15,2008-11-03T14:59:59Z,Mon,58,-,Sim
NOx,Pinheiros,2008-11-03,16,2008-11-03T15:59:59Z,Mon,50,-,Sim
NOx,Pinheiros,2008-11-03,17,2008-11-03T16:59:59Z,Mon,36,-,Sim
NOx,Pinheiros,2008-11-03,18,2008-11-03T17:59:59Z,Mon,24,-,Sim
NOx,Pinheiros,2008-11-03,19,2008-11-03T18:59:59Z,Mon,25,-,Sim
NOx,Pinheiros,2008-11-03,20,2008-11-03T19:59:59Z,Mon,20,-,Sim
NOx,Pinheiros,2008-11-03,21,2008-11-03T20:59:59Z,Mon,14,-,Sim
NOx,Pinheiros,2008-11-03,22,2008-11-03T21:59:59Z,Mon,17,-,Sim
NOx,Pinheiros,2008-11-03,23,2008-11-03T22:59:59Z,Mon,13,-,Sim
NOx,Pinheiros,2008-11-03,24,2008-11-03T23:59:59Z,Mon,11,-,Sim
NOx,Pinheiros,2008-11-04,1,2008-11-04T00:59:59Z,Tue,73,-,Não
NOx,Pinheiros,2008-11-04,2,2008-11-04T01:59:59Z,Tue,7,-,Sim
NOx,Pinheiros,2008-11-04,3,2008-11-04T02:59:59Z,Tue,14,-,Sim
NOx,Pinheiros,2008-11-04,4,2008-11-04T03:59:59Z,Tue,8,-,Sim
NOx,Pinheiros,2008-11-04,5,2008-11-04T04:59:59Z,Tue,7,-,Sim
NOx,Pinheiros,2008-11-04,6,2008-11-04T05:59:59Z,Tue,27,-,Sim
NOx,Pinheiros,2008-11-04,7,2008-11-04T06:59:59Z,Tue,50,-,Sim
NOx,Pinheiros,2008-11-04,8,2008-11-04T07:59:59Z,Tue,51,-,Sim
NOx,Pinheiros,2008-11-04,9,2008-11-04T08:59:59Z,Tue,71,-,Sim
NOx,Pinheiros,2008-11-04,10,2008-11-04T09:59:59Z,Tue,76,-,Sim
NOx,Pinheiros,2008-11-04,11,2008-11-04T10:59:59Z,Tue,69,-,Sim
NOx,Pinheiros,2008-11-04,12,2008-11-04T11:59:59Z,Tue,45,-,Sim
NOx,Pinheiros,2008-11-04,13,2008-11-04T12:59:59Z,Tue,50,-,Sim
NOx,Pinheiros,2008-11-04,14,2008-11-04T13:59:59Z,Tue,53,-,Sim
NOx,Pinheiros,2008-11-04,15,2008-11-04T14:59:59Z,Tue,38,-,Sim
NOx,Pinheiros,2008-11-04,16,2008-11-04T15:59:59Z,Tue,45,-,Sim
NOx,Pinheiros,2008-11-04,17,2008-11-04T16:59:59Z,Tue,26,-,Sim
NOx,Pinheiros,2008-11-04,18,2008-11-04T17:59:59Z,Tue,25,-,Sim
NOx,Pinheiros,2008-11-04,19,2008-11-04T18:59:59Z,Tue,23,-,Sim
NOx,Pinheiros,2008-11-04,20,2008-11-04T19:59:59Z,Tue,30,-,Sim
NOx,Pinheiros,2008-11-04,21,2008-11-04T20:59:59Z,Tue,40,-,Sim
NOx,Pinheiros,2008-11-04,22,2008-11-04T21:59:59Z,Tue,44,-,Sim
NOx,Pinheiros,2008-11-04,23,2008-11-04T22:59:59Z,Tue,45,-,Sim
NOx,Pinheiros,2008-11-04,24,2008-11-04T23:59:59Z,Tue,56,-,Sim
NOx,Pinheiros,2008-11-05,1,2008-11-05T00:59:59Z,Wed,91,-,Não
NOx,Pinheiros,2008-11-05,2,2008-11-05T01:59:59Z,Wed,40,-,Sim
NOx,Pinheiros,2008-11-05,3,2008-11-05T02:59:59Z,Wed,65,-,Sim
NOx,Pinheiros,2008-11-05,4,2008-11-05T03:59:59Z,Wed,34,-,Sim
NOx,Pinheiros,2008-11-05,5,2008-11-05T04:59:59Z,Wed,35,-,Sim
NOx,Pinheiros,2008-11-05,6,2008-11-05T05:59:59Z,Wed,37,-,Sim
NOx,Pinheiros,2008-11-05,7,2008-11-05T06:59:59Z,Wed,112,-,Sim
NOx,Pinheiros,2008-11-05,8,2008-11-05T07:59:59Z,Wed,125,-,Sim
NOx,Pinheiros,2008-11-05,9,2008-11-05T08:59:59Z,Wed,144,-,Sim
NOx,Pinheiros,2008-11-05,10,2008-11-05T09:59:59Z,Wed,156,-,Sim
NOx,Pinheiros,2008-11-05,11,2008-11-05T10:59:59Z,Wed,92,-,Sim
NOx,Pinheiros,2008-11-05,12,2008-11-05T11:59:59Z,Wed,55,-,Sim
NOx,Pinheiros,2008-11-05,13,2008-11-05T12:59:59Z,Wed,37,-,Sim
NOx,Pinheiros,2008-11-05,14,2008-11-05T13:59:59Z,Wed,42,-,Sim
NOx,Pinheiros,2008-11-05,15,2008-11-05T14:59:59Z,Wed,31,-,Sim
NOx,Pinheiros,2008-11-05,16,2008-11-05T15:59:59Z,Wed,34,-,Sim
NOx,Pinheiros,2008-11-05,17,2008-11-05T16:59:59Z,Wed,32,-,Sim
NOx,Pinheiros,2008-11-05,18,2008-11-05T17:59:59Z,Wed,28,-,Sim
NOx,Pinheiros,2008-11-05,19,2008-11-05T18:59:59Z,Wed,45,-,Sim
NOx,Pinheiros,2008-11-05,20,2008-11-05T19:59:59Z,Wed,54,-,Sim
NOx,Pinheiros,2008-11-05,21,2008-11-05T20:59:59Z,Wed,61,-,Sim
NOx,Pinheiros,2008-11-05,22,2008-11-05T21:59:59Z,Wed,159,-,Sim
NOx,Pinheiros,2008-11-05,23,2008-11-05T22:59:59Z,Wed,121,-,Sim
NOx,Pinheiros,2008-11-05,24,2008-11-05T23:59:59Z,Wed,82,-,Sim
NOx,Pinheiros,2008-11-06,1,2008-11-06T00:59:59Z,Thu,114,-,Não
NOx,Pinheiros,2008-11-06,2,2008-11-06T01:59:59Z,Thu,50,-,Sim
NOx,Pinheiros,2008-11-06,3,2008-11-06T02:59:59Z,Thu,57,-,Sim
NOx,Pinheiros,2008-11-06,4,2008-11-06T03:59:59Z,Thu,68,-,Sim
NOx,Pinheiros,2008-11-06,5,2008-11-06T04:59:59Z,Thu,49,-,Sim
NOx,Pinheiros,2008-11-06,6,2008-11-06T05:59:59Z,Thu,62,-,Sim
NOx,Pinheiros,2008-11-06,7,2008-11-06T06:59:59Z,Thu,133,-,Sim
NOx,Pinheiros,2008-11-06,8,2008-11-06T07:59:59Z,Thu,215,-,Não
NOx,Pinheiros,2008-11-06,9,2008-11-06T08:59:59Z,Thu,221,-,Não
NOx,Pinheiros,2008-11-06,10,2008-11-06T09:59:59Z,Thu,145,-,Sim
NOx,Pinheiros,2008-11-06,11,2008-11-06T10:59:59Z,Thu,102,-,Sim
NOx,Pinheiros,2008-11-06,12,2008-11-06T11:59:59Z,Thu,80,-,Não
NOx,Pinheiros,2008-11-06,13,2008-11-06T12:59:59Z,Thu,96,-,Sim
NOx,Pinheiros,2008-11-06,14,2008-11-06T13:59:59Z,Thu,118,-,Sim
NOx,Pinheiros,2008-11-06,15,2008-11-06T14:59:59Z,Thu,73,-,Sim
NOx,Pinheiros,2008-11-06,16,2008-11-06T15:59:59Z,Thu,123,-,Não
NOx,Pinheiros,2008-11-06,17,2008-11-06T16:59:59Z,Thu,92,-,Sim
NOx,Pinheiros,2008-11-06,18,2008-11-06T17:59:59Z,Thu,132,-,Não
NOx,Pinheiros,2008-11-06,19,2008-11-06T18:59:59Z,Thu,111,-,Sim
NOx,Pinheiros,2008-11-06,20,2008-11-06T19:59:59Z,Thu,92,-,Sim
NOx,Pinheiros,2008-11-06,21,2008-11-06T20:59:59Z,Thu,80,-,Sim
NOx,Pinheiros,2008-11-06,22,2008-11-06T21:59:59Z,Thu,66,-,Sim
NOx,Pinheiros,2008-11-06,23,2008-11-06T22:59:59Z,Thu,67,-,Sim
NOx,Pinheiros,2008-11-06,24,2008-11-06T23:59:59Z,Thu,92,-,Sim
NOx,Pinheiros,2008-11-07,1,2008-11-07T00:59:59Z,Fri,105,-,Não
NOx,Pinheiros,2008-11-07,2,2008-11-07T01:59:59Z,Fri,37,-,Sim
NOx,Pinheiros,2008-11-07,3,2008-11-07T02:59:59Z,Fri,21,-,Sim
NOx,Pinheiros,2008-11-07,4,2008-11-07T03:59:59Z,Fri,15,-,Sim
NOx,Pinheiros,2008-11-07,5,2008-11-07T04:59:59Z,Fri,13,-,Sim
NOx,Pinheiros,2008-11-07,6,2008-11-07T05:59:59Z,Fri,23,-,Sim
NOx,Pinheiros,2008-11-07,7,2008-11-07T06:59:59Z,Fri,47,-,Sim
NOx,Pinheiros,2008-11-07,8,2008-11-07T07:59:59Z,Fri,84,-,Sim
NOx,Pinheiros,2008-11-07,9,2008-11-07T08:59:59Z,Fri,75,-,Sim
NOx,Pinheiros,2008-11-07,10,2008-11-07T09:59:59Z,Fri,86,-,Sim
NOx,Pinheiros,2008-11-07,11,2008-11-07T10:59:59Z,Fri,97,-,Sim
NOx,Pinheiros,2008-11-07,12,2008-11-07T11:59:59Z,Fri,62,-,Sim
NOx,Pinheiros,2008-11-07,13,2008-11-07T12:59:59Z,Fri,65,-,Sim
NOx,Pinheiros,2008-11-07,14,2008-11-07T13:59:59Z,Fri,66,-,Sim
NOx,Pinheiros,2008-11-07,15,2008-11-07T14:59:59Z,Fri,61,-,Sim
NOx,Pinheiros,2008-11-07,16,2008-11-07T15:59:59Z,Fri,63,-,Sim
NOx,Pinheiros,2008-11-07,17,2008-11-07T16:59:59Z,Fri,49,-,Sim
NOx,Pinheiros,2008-11-07,18,2008-11-07T17:59:59Z,Fri,48,-,Sim
NOx,Pinheiros,2008-11-07,19,2008-11-07T18:59:59Z,Fri,45,-,Sim
NOx,Pinheiros,2008-11-07,20,2008-11-07T19:59:59Z,Fri,44,-,Sim
NOx,Pinheiros,2008-11-07,21,2008-11-07T20:59:59Z,Fri,45,-,Sim
NOx,Pinheiros,2008-11-07,22,2008-11-07T21:59:59Z,Fri,66,-,Sim
NOx,Pinheiros,2008-11-07,23,2008-11-07T22:59:59Z,Fri,49,-,Sim
NOx,Pinheiros,2008-11-07,24,2008-11-07T23:59:59Z,Fri,33,-,Sim
NOx,Pinheiros,2008-11-08,1,2008-11-08T00:59:59Z,Sat,107,-,Não
NOx,Pinheiros,2008-11-08,2,2008-11-08T01:59:59Z,Sat,77,-,Sim
NOx,Pinheiros,2008-11-08,3,2008-11-08T02:59:59Z,Sat,63,-,Sim
NOx,Pinheiros,2008-11-08,4,2008-11-08T03:59:59Z,Sat,60,-,Sim
NOx,Pinheiros,2008-11-08,5,2008-11-08T04:59:59Z,Sat,74,-,Sim
NOx,Pinheiros,2008-11-08,6,2008-11-08T05:59:59Z,Sat,114,-,Sim
NOx,Pinheiros,2008-11-08,7,2008-11-08T06:59:59Z,Sat,111,-,Sim
NOx,Pinheiros,2008-11-08,8,2008-11-08T07:59:59Z,Sat,169,-,Sim
NOx,Pinheiros,2008-11-08,9,2008-11-08T08:59:59Z,Sat,90,-,Sim
NOx,Pinheiros,2008-11-08,10,2008-11-08T09:59:59Z,Sat,53,-,Sim
NOx,Pinheiros,2008-11-08,11,2008-11-08T10:59:59Z,Sat,62,-,Sim
NOx,Pinheiros,2008-11-08,12,2008-11-08T11:59:59Z,Sat,46,-,Sim
NOx,Pinheiros,2008-11-08,13,2008-11-08T12:59:59Z,Sat,46,-,Sim
NOx,Pinheiros,2008-11-08,14,2008-11-08T13:59:59Z,Sat,53,-,Sim
