parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
MP10,Parque D.Pedro II,2018-09-01,1,2018-09-01T00:59:59Z,sáb,104,-,Sim
MP10,Parque D.Pedro II,2018-09-01,2,2018-09-01T01:59:59Z,sáb,98,-,Sim
MP10,Parque D.Pedro II,2018-09-01,3,2018-09-01T02:59:59Z,sáb,73,-,Sim
MP10,Parque D.Pedro II,2018-09-01,4,2018-09-01T03:59:59Z,sáb,86,-,Sim
MP10,Parque D.Pedro II,2018-09-01,5,2018-09-01T04:59:59Z,sáb,83,-,Sim
MP10,Parque D.Pedro II,2018-09-01,6,2018-09-01T05:59:59Z,sáb,81,-,Sim
MP10,Parque D.Pedro II,2018-09-01,7,2018-09-01T06:59:59Z,sáb,87,-,Sim
MP10,Parque D.Pedro II,2018-09-01,8,2018-09-01T07:59:59Z,sáb,73,-,Sim
MP10,Parque D.Pedro II,2018-09-01,9,2018-09-01T08:59:59Z,sáb,65,-,Sim
MP10,Parque D.Pedro II,2018-09-01,10,2018-09-01T09:59:59Z,sáb,49,-,Sim
MP10,Parque D.Pedro II,2018-09-01,11,2018-09-01T10:59:59Z,sáb,48,-,Sim
MP10,Parque D.Pedro II,2018-09-01,12,2018-09-01T11:59:59Z,sáb,40,-,Sim
MP10,Parque D.Pedro II,2018-09-01,13,2018-09-01T12:59:59Z,sáb,26,-,Sim
MP10,Parque D.Pedro II,2018-09-01,14,2018-09-01T13:59:59Z,sáb,15,-,Sim
MP10,Parque D.Pedro II,2018-09-01,15,2018-09-01T14:59:59Z,sáb,25,-,Sim
MP10,Parque D.Pedro II,2018-09-01,16,2018-09-01T15:59:59Z,sáb,29,-,Sim
MP10,Parque D.Pedro II,2018-09-01,17,2018-09-01T16:59:59Z,sáb,57,-,Sim
MP10,Parque D.Pedro II,2018-09-01,18,2018-09-01T17:59:59Z,sáb,74,-,Sim
MP10,Parque D.Pedro II,2018-09-01,19,2018-09-01T18:59:59Z,sáb,35,-,Sim
MP10,Parque D.Pedro II,2018-09-01,20,2018-09-01T19:59:59Z,sáb,23,-,Sim
