parameter,stationname,date,hour,mass_conc,mass_conc_movel,time,dayofweek
MP10,Santo Amaro,2012-01-23,13,0,-,2012-01-23T12:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,14,0,-,2012-01-23T13:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,15,0,-,2012-01-23T14:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,16,0,-,2012-01-23T15:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,18,0,-,2012-01-23T17:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,19,0,-,2012-01-23T18:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,20,0,-,2012-01-23T19:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,21,0,-,2012-01-23T20:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,22,0,-,2012-01-23T21:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,23,0,-,2012-01-23T22:00:00Z,Mon
MP10,Santo Amaro,2012-01-23,24,0,-,2012-01-23T23:00:00Z,Mon
MP10,Santo Amaro,2012-01-24,1,0,-,2012-01-24T00:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,2,0,-,2012-01-24T01:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,3,0,-,2012-01-24T02:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,4,0,-,2012-01-24T03:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,5,0,-,2012-01-24T04:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,6,0,-,2012-01-24T05:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,7,0,-,2012-01-24T06:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,8,0,-,2012-01-24T07:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,9,0,-,2012-01-24T08:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,10,0,-,2012-01-24T09:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,11,0,-,2012-01-24T10:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,12,0,-,2012-01-24T11:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,13,0,-,2012-01-24T12:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,14,0,-,2012-01-24T13:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,17,2,-,2012-01-24T16:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,18,2,-,2012-01-24T17:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,19,2,-,2012-01-24T18:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,20,2,-,2012-01-24T19:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,21,31,-,2012-01-24T20:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,22,10,-,2012-01-24T21:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,23,21,-,2012-01-24T22:00:00Z,Tue
MP10,Santo Amaro,2012-01-24,24,25,-,2012-01-24T23:00:00Z,Tue
MP10,Santo Amaro,2012-01-25,1,17,-,2012-01-25T00:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,2,45,-,2012-01-25T01:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,3,47,-,2012-01-25T02:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,4,30,-,2012-01-25T03:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,5,17,-,2012-01-25T04:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,6,28,-,2012-01-25T05:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,7,33,-,2012-01-25T06:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,8,39,-,2012-01-25T07:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,9,30,-,2012-01-25T08:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,10,31,-,2012-01-25T09:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,11,13,-,2012-01-25T10:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,12,21,-,2012-01-25T11:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,13,36,-,2012-01-25T12:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,14,38,-,2012-01-25T13:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,15,29,-,2012-01-25T14:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,16,27,-,2012-01-25T15:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,17,30,-,2012-01-25T16:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,18,39,-,2012-01-25T17:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,19,7,-,2012-01-25T18:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,20,22,-,2012-01-25T19:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,21,16,-,2012-01-25T20:00:00Z,Wed
MP10,Santo Amaro,2012-01-25,22,23,-,2012-01-25T21:00:00Z,Wed
